Nom,Lon,Lat,Janvier,Fevrier,Mars,Avril,Mai,Juin,Juillet,Aout,Septembre,Octobre,Novembre,Decembre
KOULIKORO,-7.37,12.97,-29997,-29997,-29997,-9999,47.8,138.4,302.9,227.2,92.69999999,-19972,-29997,-29997
BAMAKOV,-8.02,12.63,-9999,0,19998,38.8,51.2,172.2,270.6,344.7,92.29999999,32.60000001,0,0
NIORO,-9.6,15.23,0,0,0,0,38.7,49.80000001,259.1,96.70000001,76.7,4,0,0
NARA,-7.28,15.17,0,0,8.6,9.1,45.5,40.5,141.9,181.6,31.5,27.9,0,0
YELIMANE,-10.57,15.12,0.1,0,0.2,11.5,32.4,71.80000001,267.1,107.1,48.8,-19990.9,-29997,0
DIEMA,-9.18,14.55,-19998,-29997,-29997,4,31,112,134.5,148,83,-19973,-29997,-29997
MOPTI,-4.1,14.52,0.3,8,0,11.5,17,58.6,220,173.5,33.4,39.99999999,0,0
KAYES,-11.43,14.43,0,-19998,-29997,23.2,63.50000001,136,265,197.4,60.3,-19994.2,-29997,0
NIONO,-5.98,14.25,0,21,0,0,15,41,115,306,0,76.5,0,0
KE-MACINA,-5.37,13.95,-29997,-29997,-29997,28,0.9,36.5,184,124,6,-19992,-29997,-29997
BAFOULABE,-10.83,13.8,-29997,-29997,-29997,7,124,68,112,149,105,-19976,-29997,-29997
KOLOKANI,-8.03,13.58,-29997,-29997,-29997,0,99.5,36,358.5,106.2,73.79999998,-19988.7,-29997,-29997
BANAMBA,-7.45,13.55,-29997,-29997,-29997,0,4.5,49,69.8,109.2,37.3,-19978.3,-29997,-29997
SEGOU,-6.15,13.4,0.8,2.600000001,18.3,2,71.10000001,98.90000001,269.6000001,338.5,5,34.89999999,0,0
SAN,-4.9,13.28,0,2.4,8.899999999,5.1,68.59999999,107.7,266.1,247.6,44,94.89999998,0,0
TOMINIAN,-4.6,13.28,-29997,-29997,-29997,9,42,122,136.5,63,11,-19985,-29997,-29997
KITA,-9.45,13.07,1.9,0.7,35.8,12,116.8,163.4,280.6,283.6,97.7,14.9,0,0
BAROUELI,-6.83,13.07,-29997,-29997,-29997,0,21.5,107.6,185.4,89.3,-9999,-19998,-29997,-29997
BLA,-5.77,12.95,-29997,-29997,-29997,10,13,152,146,118,22,-19933,-29997,-29997
KATIBOUGOU,-7.53,12.93,1.6,37.9,0.9,27,165.6,126,255,330.1,79.30000001,-19986,-29997,0
KENIEBA,-11.35,12.8,0,0,0,0,202,97.50000001,421.9,453.3,97.79999999,17.7,0,0
NTARLA ,-5.75,12.7,-29997,-29997,-29997,12,166.5,81,67,106,118,-19944,-29997,-29997
KATI-HAUT,-8.07,12.73,-29997,-29997,-29997,-9999,37.2,106.5,192.5,299.8,87.19999999,-19991.8,-29997,-29997
SOTUBA,-7.93,12.65,0,1.9,2,42,54.8,161.2,229.7,319.6,86.40000001,35.2,0,0
BAMAKO SENOU,-7.95,12.53,0,1.9,1.2,47.2,70.4,139.3,276.4,318.0000001,49.5,44,0,0
BAGUINEDA,-7.78,12.62,-29997,-29997,-29997,-29997,-29997,-9945,141,144,32,-19985,-29997,-29997
DIOILA,-6.8,12.48,-19998,12.4,2,30,164.2,143.4,185,164.9,24.5,38.8,0,0
KOUTIALA,-5.47,12.4,0,7.4,16.90000001,56.40000002,82.60000001,215,171.4,267.5,82,20.5,0,0
YOROSSO,-4.78,12.37,-29997,-29997,-29997,10,121,141,158,376,70,-19977,-29997,-29997
OUELESSEBOUGOU,-7.92,11.98,-29997,-29997,-29997,6,70.39999999,224,272.4,-9937.5,115.1,-19932.7,-29997,-29997
KANGABA,-8.42,11.93,0,14.1,42.5,26.2,81.8,185.9,315,236.7,44.5,78,0,0
BOUGOUNI,-7.5,11.42,1.7,3.4,0.8,81.40000002,91.50000001,146.8,161.9,317.5,50.1,26.99999999,0,0
SIKASSO,-5.68,11.35,0.2,22.5,21.1,94.6,107.5,126.5,262.6,335.3,155.4,52,0,0
YANFOLILA,-8.15,11.18,-29997,-29997,-29997,52,84,125,276,462,79,-19985,-29997,-29997
KOLONDIEBA,-6.9,11.1,-29997,-29997,-19983.1,72,206,165,145,228,78,16,0,0
KADIOLO,-5.77,10.55,-29997,-29997,-29997,5,41,115,191,231,112,-19970,-29997,-29997
MAHINA,-10.83,13.73,1.3,0,0,0,91.5,156.9,231,220.1,107.3,32.50000001,0,0
SELINGUE,-8.23,11.65,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
