STATION,Jan,F‚v,Mar,Avr,Mai,Jui,Jui,Ao–,Sep,Oct,Nov,D‚c
BAMAKO SENOU,7.8,0.0,0.0,17.7,98.3,184.3,268.6,288.9,99.8,25.2,0.3,0.0
BAMAKO VILLE,8.0,0.0,0.0,13.4,71.9,208.2,287.2,359.6,97.7,61.5,26.3,0.0
DIDIENI,1.0,0.0,0.0,0.0,13.0,91.7,209.0,255.2,96.6,83.1,0.0,0.0
DIOILA,0.0,0.0,0.0,15.2,74.4,134.7,213.6,334.2,84.0,46.3,6.1,0.0
KANGABA,**,**,**,**,166.8,123.9,310.2,247.7,157.5,40.3,**,**
KATI-HAUT,7.4,0.0,0.0,0.0,27.8,103.1,230.3,253.1,241.3,49.1,2.7,0.0
KATIBOUGOU,10.4,0.0,0.0,14.1,63.0,162.5,287.1,339.3,42.4,31.6,6.2,0.2
KAYES,2.5,0.0,0.0,0.0,5.6,22.4,178.0,284.4,101.1,9.1,0.0,0.0
KENIEBA,1.0,0.0,0.0,10.8,17.8,220.3,281.7,267.5,245.0,45.6,5.3,0.0
KITA,7.4,0.0,0.0,0.0,27.8,103.1,230.3,253.1,241.3,49.1,2.7,0.0
KOLONDIEBA,9.5,0.0,6.1,25.4,109.8,264.6,402.8,209.7,233.0,96.4,38.6,0.0
KOUTIALA,6.2,0.0,10.9,38.0,50.7,134.5,179.3,260.4,101.6,29.5,15.1,0.0
MAHINA,1.0,0.0,0.0,6.1,3.0,168.2,245.7,255.4,179.2,7.8,0.0,0.0
MOPTI,0.3,0.0,0.0,5.3,6.7,52.1,191.0,237.0,61.8,21.0,0.0,0.0
NARA,0.0,0.0,0.0,0.5,0.0,32.4,80.9,124.9,100.2,3.5,0.0,0.0
NIORO DU SAHEL,1.7,0.0,0.0,0.0,1.5,48.5,148.6,158.9,100.6,83.0,0.0,0.0
SAN,1.1,0.0,0.0,0.4,42.5,175.3,167.2,206.4,50.5,1.8,0.0,0.0
SEGOU,11.0,0.0,0.0,0.0,6.1,133.3,198.4,246.9,55.6,1.1,0.4,0.0
SELINGUE,0.0,0.0,0.0,12.7,62.3,113.7,374.6,220.8,141.9,85.9,5.5,0.0
SIKASSO,12.8,0.0,1.5,112.8,29.1,223.6,361.7,444.0,294.1,40.8,32.4,0.0
YELIMANE,0.0,0.0,0.0,0.0,0.0,13.5,204.6,268.4,73.3,91.6,0.0,0.0
